LAT,LON,Total_Rn2200100_Sum
-31.25,-45.6,6.8927232e-08
-31.25,-45.55,7.6759872e-08
-31.25,-45.5,7.6759872e-08
-31.25,-36.9,5.3261952e-08
-31.25,-36.8,3.4463616e-08
-31.25,-36.75,1.7231808e-08
-31.25,-36.7,1.7231808e-08
-31.25,-36.65,1.7231808e-08
-31.25,-36.6,1.7231808e-08
-31.25,-36.55,3.4463616e-08
-31.25,-36.5,3.7596672e-08
-31.25,-36.45,1.8798336e-08
-31.25,-36.35,3.9163199999999996e-08
-31.25,-36.15,1.8798336e-08
-31.25,-36.1,1.8798336e-08
-31.25,-36.0,3.9163199999999996e-08
-31.25,-35.9,3.9163199999999996e-08
-31.25,-35.85,1.8798336e-08
-31.25,-35.8,1.8798336e-08
-31.25,-35.75,1.8798336e-08
-31.25,-35.7,1.8798336e-08
-31.25,-35.65,3.9163199999999996e-08
-31.25,-35.6,3.9163199999999996e-08
-31.2,-47.1,2.3497919999999997e-08
-31.2,-47.0,9.2425152e-08
-31.2,-46.95,9.399167999999999e-08
-31.2,-46.85,4.8562368e-08
-31.2,-45.75,7.5193344e-08
-31.2,-45.7,1.11223488e-07
-31.2,-45.65,1.7231808e-07
-31.2,-45.6,1.5195321599999997e-07
-31.2,-45.55,7.6759872e-08
-31.2,-45.5,7.6759872e-08
-31.2,-37.1,1.7231808e-08
-31.2,-37.0,7.049376e-08
-31.2,-36.85,5.3261952e-08
-31.2,-36.8,1.7231808e-08
-31.2,-36.7,1.7231808e-08
-31.2,-36.6,3.603014399999999e-08
-31.2,-36.55,3.7596672e-08
-31.2,-36.35,1.8798336e-08
-31.2,-36.25,1.8798336e-08
-31.2,-36.2,1.8798336e-08
-31.2,-36.15,3.9163199999999996e-08
-31.2,-36.1,1.8798336e-08
-31.2,-36.05,5.7961536e-08
-31.2,-35.95,1.8798336e-08
-31.2,-35.9,1.8798336e-08
-31.2,-35.8,1.8798336e-08
-31.2,-35.75,1.8798336e-08
-31.2,-35.65,3.9163199999999996e-08
-31.2,-35.6,3.9163199999999996e-08
-31.2,-35.5,3.9163199999999996e-08
-31.15,-47.05,4.5429311999999996e-08
-31.15,-47.0,4.5429311999999996e-08
-31.15,-46.95,6.8927232e-08
-31.15,-46.9,2.3497919999999997e-08
-31.15,-46.8,2.5064448e-08
-31.15,-45.9,2.3497919999999997e-08
-31.15,-45.8,1.7231808e-08
-31.15,-45.75,4.0729728e-08
-31.15,-45.7,1.7231808e-07
-31.15,-45.65,1.0339084800000001e-07
-31.15,-45.6,1.3315488e-07
-31.15,-45.55,1.1279001600000001e-07
-31.15,-45.5,7.6759872e-08
-31.15,-45.45,3.9163199999999996e-08
-31.15,-37.1,3.603014399999999e-08
-31.15,-37.05,3.603014399999999e-08
-31.15,-37.0,1.7231808e-08
-31.15,-36.95,1.7231808e-08
-31.15,-36.8,3.603014399999999e-08
-31.15,-36.7,3.7596672e-08
-31.15,-36.65,1.7231808e-08
-31.15,-36.6,3.4463616e-08
-31.15,-36.3,3.9163199999999996e-08
-31.15,-36.25,1.8798336e-08
-31.15,-36.2,1.8798336e-08
-31.15,-36.15,1.8798336e-08
-31.15,-36.1,1.8798336e-08
-31.15,-36.05,1.8798336e-08
-31.15,-36.0,1.8798336e-08
-31.15,-35.85,5.7961536e-08
-31.15,-35.75,1.8798336e-08
-31.15,-35.55,1.8798336e-08
-31.1,-47.1,2.3497919999999997e-08
-31.1,-47.05,2.3497919999999997e-08
-31.1,-47.0,4.5429311999999996e-08
-31.1,-46.95,9.7124736e-08
-31.1,-46.9,5.1695424000000003e-08
-31.1,-46.85,2.3497919999999997e-08
-31.1,-46.8,2.5064448e-08
-31.1,-45.8,4.0729728e-08
-31.1,-45.75,1.37854464e-07
-31.1,-45.7,9.085862399999999e-08
-31.1,-45.65,1.7231808e-08
-31.1,-45.6,1.31588352e-07
-31.1,-45.55,9.555820799999999e-08
-31.1,-37.05,1.7231808e-08
-31.1,-37.0,3.4463616e-08
-31.1,-36.85,1.7231808e-08
-31.1,-36.8,1.7231808e-08
-31.1,-36.75,2.0364864e-08
-31.1,-36.7,3.4463616e-08
-31.1,-36.35,1.8798336e-08
-31.1,-36.3,1.8798336e-08
-31.1,-36.15,1.8798336e-08
-31.1,-36.1,1.8798336e-08
-31.1,-36.05,5.7961536e-08
-31.1,-35.95,1.8798336e-08
-31.1,-35.85,1.8798336e-08
-31.1,-35.8,3.9163199999999996e-08
-31.1,-35.75,3.9163199999999996e-08
-31.1,-35.7,1.8798336e-08
-31.1,-35.6,3.9163199999999996e-08
-31.1,-35.55,1.8798336e-08
-31.05,-47.1,2.3497919999999997e-08
-31.05,-47.05,2.3497919999999997e-08
-31.05,-47.0,6.8927232e-08
-31.05,-46.95,2.3497919999999997e-08
-31.05,-46.9,2.3497919999999997e-08
-31.05,-46.85,2.5064448e-08
-31.05,-45.85,2.3497919999999997e-08
-31.05,-45.75,5.1695424000000003e-08
-31.05,-45.7,1.31588352e-07
-31.05,-45.65,9.085862399999999e-08
-31.05,-45.6,1.7231808e-07
-31.05,-45.55,9.555820799999999e-08
-31.05,-45.5,3.9163199999999996e-08
-31.05,-37.35,1.7231808e-08
-31.05,-37.2,1.7231808e-08
-31.05,-37.1,8.7725568e-08
-31.05,-37.05,1.7231808e-08
