LAT,LON,Total_Rn2200100_Sum
32.0,-105.9,5.3204477616e-09
32.0,-105.85,1.2321036921600002e-08
32.0,-105.8,2.29619324448e-08
32.0,-105.75,4.4803770624e-08
32.0,-105.7,3.6403063632000004e-08
32.0,-105.65,3.3602827968e-08
32.0,-105.6,8.1206834256e-08
32.0,-105.55,3.6403063632000004e-08
32.0,-105.5,5.8804948943999995e-08
32.0,-105.45,1.06408955232e-07
32.0,-105.4,1.48412490192e-07
32.0,-105.35,5.8804948943999995e-08
32.0,-105.3,2.6322215241600003e-08
32.0,-105.25,1.06408955232e-08
32.0,-105.2,2.100176748e-08
32.0,-105.15,6.1605184608e-08
32.0,-105.1,1.06408955232e-08
32.05,-106.1,6.160518460800001e-09
32.05,-105.9,2.8002356640000002e-08
32.05,-105.85,6.160518460800001e-09
32.05,-105.8,3.3602827968e-08
32.05,-105.75,5.3204477616e-08
32.05,-105.7,3.6403063632000004e-08
32.05,-105.65,7.8406598592e-08
32.05,-105.6,5.0404241951999996e-08
32.05,-105.55,5.6004713280000004e-08
32.05,-105.5,5.6004713280000004e-08
32.05,-105.45,1.56813197184e-07
32.05,-105.4,1.0080848390399999e-07
32.05,-105.35,2.6322215241600003e-08
32.05,-105.3,2.100176748e-08
32.05,-105.25,5.3204477616e-09
32.05,-105.2,2.6322215241600003e-08
32.05,-105.15,6.7205655936e-08
32.05,-105.1,5.3204477616e-09
32.1,-106.1,6.160518460800001e-09
32.1,-105.9,7.280612726400001e-08
32.1,-105.85,6.160518460800001e-09
32.1,-105.8,4.200353496e-08
32.1,-105.75,5.3204477616e-08
32.1,-105.7,6.1605184608e-08
32.1,-105.65,8.6807305584e-08
32.1,-105.6,2.8002356640000002e-08
32.1,-105.55,9.240777691200001e-08
32.1,-105.5,8.6807305584e-08
32.1,-105.45,1.23210369216e-07
32.1,-105.4,8.9607541248e-08
32.1,-105.35,2.6322215241600003e-08
32.1,-105.3,1.06408955232e-08
32.1,-105.25,1.06408955232e-08
32.1,-105.2,3.3602827968e-08
32.1,-105.15,4.7604006288000006e-08
32.15,-106.1,1.87615789488e-08
32.15,-106.05,6.720565593599999e-09
32.15,-106.0,1.3721154753599999e-08
32.15,-105.9,7.280612726400001e-08
32.15,-105.85,1.2601060487999999e-08
